127.0.0.1 - - [25/Nov/2013:14:47:05 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/ HTTP/1.1" 200 6913
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/style.css HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 200 17328
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 200 5523
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 200 43705
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/Tulips.jpg HTTP/1.1" 200 620888
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/image_03.gif HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/image_04.gif HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/bullet.png HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:08 +0530] "GET /main/images/image_05.gif HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:16 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:16 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:16 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:16 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/Tulips.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/image_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/image_04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/image_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:17 +0530] "GET /main/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:18 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:18 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:18 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:18 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:18 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2013:14:47:18 +0530] "GET /main/images/Tulips.jpg HTTP/1.1" 304 -
