127.0.0.1 - - [06/Nov/2013:16:03:26 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:28 +0530] "GET /main/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:28 +0530] "GET /main/style.css HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:28 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:28 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:28 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:29 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:29 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:29 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:29 +0530] "GET /main/images/image_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:29 +0530] "GET /main/images/image_04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:29 +0530] "GET /main/images/image_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:29 +0530] "GET /main/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:43 +0530] "GET /main/create.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:43 +0530] "GET /main/images/home1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:45 +0530] "GET /main/index.html HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/image_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/image_04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/image_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/image_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/image_04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/image_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:03:48 +0530] "GET /main/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/style.css HTTP/1.1" 200 4699
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/image_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/image_04.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/image_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_12.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_16.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_03.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2013:16:05:21 +0530] "GET /main/images/globe_06.jpg HTTP/1.1" 304 -
